stage,prefix_fingerprint,population_size_T,sample_size_M,occupied_values_R,fiber_profile,population_unresolved_pairs,expected_singletons_S_numerator,expected_singletons_S_denominator,expected_singletons_S_decimal,expected_survivors_U_numerator,expected_survivors_U_denominator,expected_survivors_U_decimal,expected_pairs_P_numerator,expected_pairs_P_denominator,expected_pairs_P_decimal
J1,I1,1000,100,900,"(101,1^899)",5050,7895606434346012737032080578209268834789047927335696360031017418966273178978271312581182868676884641350781531140673644031,87826384305190345709794395844673031458390682767666573181843983390638840957107931486166786342327376210784676975070744890,89.900164931182,887031996173021833947359006258034311050020349430960958153380920097610916732521836035495765555852979727686166366400844969,87826384305190345709794395844673031458390682767666573181843983390638840957107931486166786342327376210784676975070744890,10.099835068818,5555,111,50.045045045045
J2,I1+I2,1000,100,920,"(5^20,1^900)",200,442687474760,4583495139,96.582948456357,15662039140,4583495139,3.417051543643,220,111,1.981981981982
J3,I1+I2+I3,1000,100,980,"(2^20,1^960)",20,11056,111,99.603603603604,44,111,0.396396396396,22,111,0.198198198198
