M,p_no_collision_A,p_collision_A,p_no_collision_B,p_collision_B
66,0.00619846936373587,0.993801530636264,0.100537202776871,0.899462797223129
67,0.00560861930265573,0.994391380697344,0.0934328608247582,0.906567139175242
68,0.0050733690231235,0.994926630976877,0.0867233199080821,0.913276680091918
69,0.00458783451486292,0.995412165485137,0.0803958673825998,0.9196041326174
70,0.00414754947900295,0.995852450520997,0.074437419638884,0.925562580361116
71,0.00374843181442488,0.996251568185575,0.068834603106925,0.931165396893075
72,0.0033867525283479,0.996613247471652,0.0635738315024129,0.936426168497587
73,0.00305910692934107,0.996940893070659,0.0586413790582602,0.94135862094174
74,0.00276238796454469,0.997237612035455,0.054023449531558,0.945976550468442
75,0.00249376156720145,0.997506238432799,0.0497062408216926,0.950293759178307
76,0.0022506438854569,0.997749356114543,0.0456760050793932,0.954323994920607
77,0.00203068026864041,0.99796931973136,0.0419191042287072,0.958080895771293
78,0.00183172589275268,0.998168274107247,0.0384220608640155,0.961577939135985
79,0.00165182791256087,0.998348172087439,0.0351716045219404,0.96482839547806
80,0.00148920903344821,0.998510790966552,0.0321547133631638,0.967845286636836
81,0.00134225240191106,0.998657747598089,0.0293586513315843,0.970641348668416
82,0.0012094877192846,0.998790512280715,0.0267710008877776,0.973228999112222
83,0.00108957848886114,0.998910421511139,0.0243796914402855,0.975620308559714
84,0.000981310312006999,0.999018689687993,0.0221730236218082,0.977826976378192
85,0.000883580154155337,0.999116419845845,0.0201396895778869,0.979860310422113
86,0.000795386506632682,0.999204613493367,0.0182687894531652,0.981731210546835
87,0.000715820375150343,0.99928417962485,0.0165498442748586,0.983450155725141
88,0.000644057030448284,0.999355942969552,0.0149728054447242,0.985027194555276
89,0.000579348461011854,0.999420651538988,0.013528061059707,0.986471938940293
90,0.000521016471988404,0.999478983528012,0.0122064392876829,0.987793560712317
