policy,description,sample_size_M,cost_I1,cost_I2,cost_I3,fallback_cost_f,expected_workload_numerator,expected_workload_denominator,expected_workload_decimal
I1 only,I1 on all objects; fallback after J1,100,1,12,40,100,566600,111,5104.504504504504
I2 only,I2 on all objects; fallback after J2,100,1,12,40,100,155200,111,1398.198198198198
I1 -> I2,I1 on all objects; I2 only on J1 survivors; fallback after J2,100,1,12,40,100,2044289969702132762906038349397189521795679352525901784289669617900081688383995808895700493825716160787125390737443790678854,4874364328938064186893588969379353245940682893605494811592341078180455673119490197482256641999169379698549572116426341395,419.396219024011
I2 -> I1,I2 on all objects; I1 only on I2 survivors; same terminal joint fingerprint,100,1,12,40,100,2141432227980,1527831713,1401.615249741841
I1 -> I3,skip I2; evaluate I3 on J1 survivors; fallback after J3,100,1,12,40,100,510651297426724854066653945251982365945868643228343207751953626432888905502193244076361945742094133359436278243526065869936,974872865787612837378717793875870649188136578721098962318468215636091134623898039496451328399833875939709914423285268279,523.813222572528
I1 -> I2 -> I3,fully adaptive three-stage cascade,100,1,12,40,100,613682310419930013576784620775152749051397852383336544805387977381215967153839739005991153542121356430945651752123194458618,1624788109646021395631196323126451081980227631201831603864113692726818557706496732494085547333056459899516524038808780465,377.699902391351
all three on all objects,nonadaptive full evaluation; fallback after J3,100,1,12,40,100,590500,111,5319.819819819820
